iter	Passed	Remaining
0	164	164015
1	169	84486
2	174	57864
3	178	44551
4	183	36547
5	189	31373
6	193	27421
7	197	24494
8	201	22161
9	205	20359
10	209	18843
11	212	17534
12	215	16342
13	217	15322
14	219	14435
15	221	13634
16	223	12927
17	225	12293
18	226	11717
19	229	11235
20	231	10776
21	232	10338
22	233	9930
23	234	9554
24	236	9217
25	237	8905
26	238	8604
27	239	8324
28	240	8064
29	241	7822
30	242	7595
31	243	7380
32	244	7177
33	246	6990
34	246	6810
35	247	6640
36	248	6480
37	250	6353
38	252	6216
39	253	6078
40	254	5946
41	255	5819
42	256	5699
43	257	5584
44	257	5474
45	258	5369
46	259	5268
47	260	5171
48	261	5078
49	262	4990
50	263	4905
51	264	4822
52	265	4742
53	266	4664
54	267	4590
55	268	4518
56	269	4450
57	269	4384
58	272	4339
59	273	4279
60	274	4219
61	275	4160
62	275	4103
63	276	4047
64	277	3993
65	278	3941
66	279	3890
67	280	3841
68	281	3792
69	281	3745
70	282	3700
71	283	3655
72	284	3612
73	285	3570
74	286	3530
75	287	3490
76	287	3451
77	288	3414
78	289	3376
79	290	3341
80	291	3305
81	292	3271
82	292	3233
83	294	3206
84	294	3175
85	295	3143
86	296	3113
87	297	3083
88	298	3054
89	299	3026
90	300	2997
91	300	2970
92	301	2943
93	302	2916
94	303	2890
95	304	2864
96	305	2839
97	305	2815
98	306	2791
99	307	2768
100	308	2745
101	309	2722
102	310	2700
103	310	2678
104	311	2657
105	312	2636
106	313	2615
107	314	2595
108	316	2583
109	317	2568
110	318	2549
111	319	2531
112	320	2512
113	320	2494
114	321	2477
115	322	2460
116	323	2441
117	324	2425
118	325	2408
119	326	2391
120	326	2374
121	327	2357
122	328	2342
123	329	2326
124	330	2311
125	331	2296
126	331	2279
127	332	2264
128	333	2250
129	334	2236
130	334	2222
131	335	2208
132	336	2194
133	339	2191
134	340	2179
135	340	2166
136	341	2153
137	342	2140
138	343	2128
139	344	2115
140	345	2103
141	345	2089
142	346	2077
143	347	2065
144	348	2054
145	349	2042
146	350	2031
147	350	2020
148	351	2008
149	352	1997
150	353	1987
151	354	1976
152	355	1965
153	355	1955
154	356	1945
155	357	1935
156	358	1924
157	359	1916
158	361	1914
159	363	1906
160	363	1895
161	364	1885
162	365	1876
163	366	1866
164	367	1857
165	367	1848
166	368	1839
167	369	1830
168	370	1822
169	371	1813
170	372	1804
171	373	1796
172	373	1787
173	374	1779
174	375	1770
175	376	1762
176	377	1755
177	378	1746
178	379	1738
179	379	1731
180	380	1723
181	381	1715
182	383	1710
183	384	1703
184	384	1695
185	385	1687
186	386	1680
187	387	1673
188	388	1665
189	389	1658
190	389	1651
191	390	1644
192	391	1637
193	392	1630
194	393	1623
195	394	1616
196	394	1609
197	395	1603
198	396	1596
199	397	1590
200	398	1583
201	399	1577
202	400	1570
203	400	1564
204	401	1558
205	402	1551
206	403	1545
207	404	1539
208	406	1539
209	407	1534
210	408	1528
211	409	1522
212	410	1517
213	411	1511
214	412	1506
215	413	1501
216	414	1495
217	415	1490
218	416	1485
219	417	1479
220	418	1474
221	419	1468
222	420	1463
223	420	1458
224	421	1452
225	422	1448
226	423	1442
227	428	1451
228	430	1447
229	433	1451
230	434	1447
231	436	1443
232	437	1439
233	438	1436
234	439	1431
235	440	1426
236	441	1421
237	442	1416
238	444	1415
239	445	1412
240	446	1407
241	447	1402
242	448	1398
243	449	1393
244	450	1389
245	451	1384
246	452	1379
247	453	1375
248	454	1370
249	455	1366
250	456	1362
251	457	1358
252	458	1353
253	459	1349
254	460	1344
255	461	1340
256	462	1336
257	462	1331
258	463	1327
259	464	1322
260	467	1324
261	469	1322
262	470	1318
263	471	1313
264	472	1309
265	473	1305
266	473	1301
267	474	1296
268	475	1292
269	476	1287
270	477	1283
271	478	1279
272	478	1275
273	479	1270
274	480	1266
275	481	1262
276	482	1258
277	483	1254
278	483	1250
279	484	1246
280	485	1242
281	486	1238
282	487	1234
283	488	1231
284	489	1227
285	490	1224
286	491	1220
287	492	1216
288	493	1213
289	494	1209
290	495	1206
291	496	1202
292	496	1199
293	497	1195
294	498	1191
295	499	1188
296	500	1184
297	501	1180
298	502	1177
299	502	1173
